TAG_DEBITO_ID,nombre,agrup_debito
267,ACCIONES,PRESCINDIBLE
341,ACCIONES COMPRA,PRESCINDIBLE
425,ACCIONES COMPRA,PRESCINDIBLE
426,ACCIONES COMPRA,PRESCINDIBLE
428,ACCIONES COMPRA,PRESCINDIBLE
429,ACCIONES COMPRA,PRESCINDIBLE
430,ACCIONES COMPRA,PRESCINDIBLE
450,ACCIONES COMPRA,PRESCINDIBLE
454,ACCIONES COMPRA,PRESCINDIBLE
455,ACCIONES COMPRA,PRESCINDIBLE
456,ACCIONES COMPRA,PRESCINDIBLE
465,ACCIONES COMPRA,PRESCINDIBLE
475,ACCIONES COMPRA,PRESCINDIBLE
509,ACCIONES COMPRA,PRESCINDIBLE
511,ACCIONES COMPRA,PRESCINDIBLE
512,ACCIONES COMPRA,PRESCINDIBLE
513,ACCIONES COMPRA,PRESCINDIBLE
514,ACCIONES COMPRA,PRESCINDIBLE
515,ACCIONES COMPRA,PRESCINDIBLE
516,ACCIONES COMPRA,PRESCINDIBLE
517,ACCIONES COMPRA,PRESCINDIBLE
518,ACCIONES COMPRA,PRESCINDIBLE
260,AHORRO,PRESCINDIBLE
282,AHORRO,PRESCINDIBLE
308,AHORRO,PRESCINDIBLE
309,AHORRO,PRESCINDIBLE
339,AHORRO,PRESCINDIBLE
344,AHORRO,PRESCINDIBLE
348,AHORRO,PRESCINDIBLE
484,AHORRO,PRESCINDIBLE
496,AHORRO,PRESCINDIBLE
497,AHORRO,PRESCINDIBLE
498,AHORRO,PRESCINDIBLE
499,AHORRO,PRESCINDIBLE
525,AHORRO,PRESCINDIBLE
528,AHORRO,PRESCINDIBLE
537,AHORRO,PRESCINDIBLE
549,AHORRO,PRESCINDIBLE
555,AHORRO,PRESCINDIBLE
559,AHORRO,PRESCINDIBLE
566,AHORRO,PRESCINDIBLE
577,AHORRO,PRESCINDIBLE
586,AHORRO,PRESCINDIBLE
616,AHORRO,PRESCINDIBLE
192,AHORRO PPI,PRESCINDIBLE
201,AHORRO PPI,PRESCINDIBLE
216,AHORRO PPI,PRESCINDIBLE
266,AHORRO PPI,PRESCINDIBLE
415,AHORRO PPI,PRESCINDIBLE
443,AHORRO PPI,PRESCINDIBLE
467,AHORRO PPI,PRESCINDIBLE
505,AHORRO PPI,PRESCINDIBLE
527,AHORRO PPI,PRESCINDIBLE
536,AHORRO PPI,PRESCINDIBLE
209,ALQUILER,IMPRESCINDIBLE
