ID_MOVIMIENTO,FECHA,CANTIDAD,SALDO_CUENTAS,ID_CLIENTE,TAG_ABONO_ID,TAG_DEBITO_ID,TAG_SECUNDARIO_ID,,
36893288,16/06/2021,-32.74,280.02,305443,NULL,NULL,NULL,,
36893289,16/06/2021,-8.00,312.76,305443,NULL,438,NULL,,
36893290,16/06/2021,-29.97,320.76,305443,NULL,438,279,,
36893291,15/06/2021,20.00,350.73,305443,298,NULL,NULL,,
36893292,14/06/2021,-36.89,330.73,305443,NULL,438,220,,
36893293,14/06/2021,-8.45,367.62,305443,NULL,438,667,,
36893294,14/06/2021,-31.96,376.07,305443,NULL,438,15,,
36893295,14/06/2021,-52.36,408.03,305443,NULL,438,412,,
36893296,14/06/2021,-7.29,460.39,305443,NULL,438,116,,
36893297,14/06/2021,-1.50,467.68,305443,NULL,438,NULL,,
36893298,11/06/2021,100.00,469.18,305443,298,NULL,NULL,,
36893299,11/06/2021,360.00,369.18,305443,298,NULL,NULL,,
36893300,10/06/2021,-1.20,9.18,305443,NULL,438,NULL,,
36893301,10/06/2021,-14.54,10.38,305443,NULL,NULL,NULL,,
36893302,8/06/2021,-44.70,24.92,305443,NULL,438,617,,
36893303,8/06/2021,20.00,69.62,305443,28,NULL,NULL,,
36893304,7/06/2021,-25.00,49.62,305443,NULL,481,NULL,,
36893305,7/06/2021,-0.95,74.62,305443,NULL,221,NULL,,
36893306,7/06/2021,-23.19,75.57,305443,NULL,29,NULL,,
36893307,7/06/2021,-50.00,98.76,305443,NULL,NULL,11,,
36893308,7/06/2021,-23.35,148.76,305443,NULL,438,824,,
36893309,7/06/2021,-35.00,172.11,305443,NULL,481,NULL,,
36893310,4/06/2021,-315.00,207.11,305443,NULL,29,NULL,,
36893311,4/06/2021,450.00,522.11,305443,2,NULL,NULL,,
36893312,2/06/2021,-27.98,72.11,305443,NULL,438,1127,,
36893313,2/06/2021,25.00,100.09,305443,298,NULL,NULL,,
36893314,2/06/2021,-60.00,75.09,305443,NULL,29,NULL,,
36893315,2/06/2021,50.00,135.09,305443,298,NULL,NULL,,
36893316,1/06/2021,-15.20,85.09,305443,NULL,438,66,,
36893317,31/05/2021,-100.00,100.29,305443,NULL,413,NULL,,
36893318,31/05/2021,-112.00,200.29,305443,NULL,481,NULL,,
36893319,31/05/2021,250.00,312.29,305443,2,NULL,NULL,,
36893320,31/05/2021,-181.80,62.29,305443,NULL,NULL,187,,
36893321,31/05/2021,-6.00,244.09,305443,NULL,438,NULL,,
36893322,31/05/2021,-9.80,250.09,305443,NULL,438,NULL,,
